request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_52,19388.71,affordable_later,wait,2024-06-15:28870,2024-06-15,none,"Pay INR 28,870 in full on 15 June 2024. Paying earlier would take the balance below the INR 41,500 minimum."
request_53,465.18,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2026-01-15,none,"Use 3 installments of USD 589.06, starting 21 November 2025. This leaves at least USD 2,124.40 available."
request_54,1904.42,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 121,528 request. Although ZAR 1,904.42 is available today, the full amount cannot be completed safely within 90 days."
request_55,128967.11,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-07-15,reduce_to:event_5167:2750,"Use 3 installments of INR 75,781.33, starting 11 June 2026. This leaves at least INR 133,762.58 available."
request_56,635.7,affordable_with_plan,installments,2025-02-03:458.42|2025-03-03:458.42,2025-02-15,none,"Use 2 installments of USD 458.42, starting 3 February 2025. This leaves at least USD 2,277.28 available."
request_57,12901.63,affordable_later,wait,2026-06-15:61446,2026-06-15,none,"Pay ZAR 61,446 in full on 15 June 2026. Paying earlier would take the balance below the ZAR 42,700 minimum."
request_58,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 25 January 2025. None of the available options keeps the IDR 14,433,900 minimum protected."
request_59,130165.01,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,"Use 3 installments of INR 48,741.33, starting 7 May 2025. This leaves at least INR 270,723.22 available."
request_60,112.71,affordable_later,wait,2026-02-15:199.89,2026-02-15,none,Pay USD 199.89 in full on 15 February 2026. Paying earlier would take the balance below the USD 400 minimum.
request_61,29062,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,"Use 3 installments of ZAR 10,074.83, starting 17 March 2024. This leaves at least ZAR 38,124.77 available."
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,"Pay USD 404.23 today. This leaves at least USD 5,189.57 available over the next 90 days."
request_63,37457.15,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 343,900 request. Although INR 37,457.15 is available today, the full amount cannot be completed safely within 90 days."
request_64,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 16 August 2024. None of the available options keeps the INR 36,100 minimum protected."
request_65,5850.39,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 54,340 request. Although ZAR 5,850.39 is available today, the full amount cannot be completed safely within 90 days."
request_66,22200,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,"Pay INR 22,200 today. This leaves at least INR 228,443.57 available over the next 90 days."
request_67,302.26,affordable_later,wait,2024-10-15:2094,2024-10-15,none,"Pay USD 2,094 in full on 15 October 2024. Paying earlier would take the balance below the USD 1,200 minimum."
request_68,1335.8,affordable_with_plan,installments,2025-02-14:725.09|2025-03-14:725.09|2025-04-11:725.09,2025-03-23,none,"Use 3 installments of USD 725.09, starting 14 February 2025. This leaves at least USD 1,591 available."
request_69,529.1,affordable_now,full_payment,2026-01-04:529.1,2026-01-04,none,Pay EUR 529.10 today. This leaves at least EUR 724.42 available over the next 90 days.
request_70,50373.61,affordable_later,wait,2025-02-15:243900,2025-02-15,none,"Pay INR 243,900 in full on 15 February 2025. Paying earlier would take the balance below the INR 115,000 minimum."
request_71,222360.35,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 21,451,000 request. Although IDR 222,360.35 is available today, the full amount cannot be completed safely within 90 days."
request_72,11330,affordable_now,full_payment,2026-07-05:11330,2026-07-05,none,"Pay ZAR 11,330 today. This leaves at least ZAR 12,402.90 available over the next 90 days."
request_73,71400,affordable_now,full_payment,2023-01-20:71400,2023-01-20,none,"Pay INR 71,400 today. This leaves at least INR 103,751.18 available over the next 90 days."
request_74,5010,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,"Pay ZAR 5,010 today. This leaves at least ZAR 65,046.90 available over the next 90 days."
request_75,15089.8,affordable_with_plan,installments,2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27,2026-04-06,none,"Use 3 installments of ZAR 9,800.27, starting 9 April 2026. This leaves at least ZAR 48,988.36 available."
request_76,721.78,not_affordable,not_recommended,none,2024-08-15,none,"Do not proceed with the USD 4,455.60 request. Although USD 721.78 is available today, the full amount cannot be completed safely within 90 days."
request_77,59872.82,not_affordable,not_recommended,none,2025-11-15,none,"Do not proceed with the INR 60,700 request. Although INR 59,872.82 is available today, the full amount cannot be completed safely within 90 days."
request_78,45837.53,not_affordable,not_recommended,none,2025-10-15,none,"Do not proceed with the INR 50,200 request. Although INR 45,837.53 is available today, the full amount cannot be completed safely within 90 days."
request_79,312.95,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 2,151.60 request. Although EUR 312.95 is available today, the full amount cannot be completed safely within 90 days."
request_80,110465.79,not_affordable,not_recommended,none,2025-02-15,none,"Do not proceed with the INR 217,500 request. Although INR 110,465.79 is available today, the full amount cannot be completed safely within 90 days."
request_81,2076,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,"Pay USD 2,076 today. This leaves at least USD 1,717.09 available over the next 90 days."
request_82,310.47,affordable_later,wait,2025-02-15:1405.2,2025-02-15,none,"Pay USD 1,405.20 in full on 15 February 2025. Paying earlier would take the balance below the USD 1,100 minimum."
request_83,7522.86,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 156,200 request. Although INR 7,522.86 is available today, the full amount cannot be completed safely within 90 days."
request_84,21601.3,affordable_later,wait,2026-06-15:95400,2026-06-15,none,"Pay INR 95,400 in full on 15 June 2026. Paying earlier would take the balance below the INR 91,300 minimum."
request_85,367767.97,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 19,304,000 request. Although IDR 367,767.97 is available today, the full amount cannot be completed safely within 90 days."
request_86,46300,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,"Pay INR 46,300 today. This leaves at least INR 94,012.70 available over the next 90 days."
request_87,16803.38,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 487,900 request. Although INR 16,803.38 is available today, the full amount cannot be completed safely within 90 days."
request_88,10734,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-07-15,none,"Use 3 installments of ZAR 9,045.23, starting 14 June 2024. This leaves at least ZAR 27,488.77 available."
request_89,9324615.66,affordable_with_plan,installments,2025-11-18:4768746.67|2025-12-16:4768746.67|2026-01-13:4768746.67,2026-01-15,reduce_to:event_8403:203300|reduce_to:event_8337:266760|stop:event_8335,"Use 3 installments of IDR 4,768,746.67, starting 18 November 2025. This leaves at least IDR 12,554,995.09 available."
request_90,846.25,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,"Pay ZAR 2,560 today. This leaves at least ZAR 9,647.17 available over the next 90 days."
request_91,312.84,affordable_later,wait,2024-11-15:1927.2,2024-11-15,none,"Pay EUR 1,927.20 in full on 15 November 2024. Paying earlier would take the balance below the EUR 2,100 minimum."
request_92,34034,affordable_now,full_payment,2025-02-05:34034,2025-02-05,none,"Pay ZAR 34,034 today. This leaves at least ZAR 29,789.11 available over the next 90 days."
request_93,1729.2,affordable_now,full_payment,2026-04-07:1729.2,2026-04-07,none,"Pay USD 1,729.20 today. This leaves at least USD 2,003.10 available over the next 90 days."
request_94,572,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,"Pay EUR 572 today. This leaves at least EUR 2,091.60 available over the next 90 days."
request_95,3835.39,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 553,000 request. Although INR 3,835.39 is available today, the full amount cannot be completed safely within 90 days."
request_96,72506.46,affordable_with_plan,installments,2026-01-10:31269.33|2026-02-09:31269.33|2026-03-11:31269.33,2026-02-15,reduce_to:event_8980:1610,"Use 3 installments of INR 31,269.33, starting 10 January 2026. This leaves at least INR 60,371.87 available."
request_97,1454.36,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-04-15,none,"Use 3 installments of ZAR 8,145.28, starting 19 March 2024. This leaves at least ZAR 31,154.36 available."
request_98,6618.48,affordable_later,wait,2025-10-15:27148,2025-10-15,none,"Pay ZAR 27,148 in full on 15 October 2025. Paying earlier would take the balance below the ZAR 30,000 minimum."
request_99,17497.77,affordable_with_plan,full_payment,2026-07-04:18062,2026-07-15,reduce_to:event_9232:1065.9,"reduce the subscription to ZAR 1,065.90, then pay ZAR 18,062 today. This leaves at least ZAR 49,100 available."
request_100,25122.04,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-07-15,stop:event_9267,"Use 3 installments of ZAR 12,866.19, starting 13 June 2024. This leaves at least ZAR 33,213.27 available."
request_101,143500,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,"Pay INR 143,500 today. This leaves at least INR 194,363.68 available over the next 90 days."
request_102,1401.7,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,"Use 3 installments of EUR 594.88, starting 5 April 2026. This leaves at least EUR 1,100 available."
request_103,1861.95,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 368,300 request. Although INR 1,861.95 is available today, the full amount cannot be completed safely within 90 days."
request_104,17204,affordable_now,full_payment,2025-02-04:17204,2025-02-04,none,"Pay ZAR 17,204 today. This leaves at least ZAR 29,541.53 available over the next 90 days."
request_105,51071.87,affordable_with_plan,full_payment,2026-06-08:53500,2026-06-15,reduce_to:event_9721:1720|reduce_to:event_9720:1632,"reduce the subscription to INR 1,720 and reduce the subscription to INR 1,632, then pay INR 53,500 today. This leaves at least INR 73,900 available."
request_106,459.88,affordable_later,wait,2025-02-15:2207.7,2025-02-15,none,"Pay EUR 2,207.70 in full on 15 February 2025. Paying earlier would take the balance below the EUR 1,200 minimum."
request_107,2430.75,affordable_with_plan,installments,2025-05-08:878.59|2025-06-05:878.59|2025-07-03:878.59,2025-06-15,none,"Use 3 installments of EUR 878.59, starting 8 May 2025. This leaves at least EUR 2,344.93 available."
request_108,1754.06,not_affordable,not_recommended,none,2026-09-15,none,"Do not proceed with the ZAR 55,308 request. Although ZAR 1,754.06 is available today, the full amount cannot be completed safely within 90 days."
request_109,469.55,not_affordable,not_recommended,none,2024-05-15,none,"Do not proceed with the EUR 1,863.40 request. Although EUR 469.55 is available today, the full amount cannot be completed safely within 90 days."
request_110,22352,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,"Use 3 installments of ZAR 7,748.69, starting 6 August 2025. This leaves at least ZAR 43,739.76 available."
request_111,16625000,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,"Pay IDR 16,625,000 today. This leaves at least IDR 54,128,194.28 available over the next 90 days."
request_112,271.7,affordable_now,full_payment,2024-06-05:271.7,2024-06-05,none,Pay EUR 271.70 today. This leaves at least EUR 513.94 available over the next 90 days.
request_113,19053.02,affordable_later,wait,2026-10-15:36500,2026-10-15,none,"Pay INR 36,500 in full on 15 October 2026. Paying earlier would take the balance below the INR 82,300 minimum."
request_114,55013.54,not_affordable,not_recommended,none,2026-01-15,none,"Do not proceed with the INR 65,300 request. Although INR 55,013.54 is available today, the full amount cannot be completed safely within 90 days."
request_115,14848.08,affordable_later,wait,2024-11-15:80500,2024-11-15,none,"Pay INR 80,500 in full on 15 November 2024. Paying earlier would take the balance below the INR 38,800 minimum."
request_116,9538.6,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 241,200 request. Although INR 9,538.60 is available today, the full amount cannot be completed safely within 90 days."
request_117,857.36,affordable_with_plan,full_payment,2026-07-05:880,2026-07-15,reduce_to:event_10878:20.5|stop:event_10833,"reduce the subscription to EUR 20.50 and Stop the subscription, then pay EUR 880 today. This leaves at least EUR 1,000 available."
request_118,660.47,affordable_with_plan,installments,2024-12-07:255.87|2025-01-07:255.87|2025-02-07:255.87,2025-01-15,none,"Use 3 installments of EUR 255.87, starting 7 December 2024. This leaves at least EUR 810.17 available."
request_119,59015.03,not_affordable,not_recommended,none,2025-06-15,none,"Do not proceed with the INR 203,500 request. Although INR 59,015.03 is available today, the full amount cannot be completed safely within 90 days."
request_120,7714000,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,"Pay IDR 7,714,000 today. This leaves at least IDR 20,869,197.58 available over the next 90 days."
request_121,633.6,affordable_now,full_payment,2024-03-03:633.6,2024-03-03,none,Pay USD 633.60 today. This leaves at least USD 856.72 available over the next 90 days.
request_122,20558000,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,"Use 3 installments of IDR 7,126,773.33, starting 5 August 2025. This leaves at least IDR 54,551,942.96 available."
request_123,0,affordable_now,full_payment,2026-01-07:4076000,2026-01-07,none,"Pay IDR 4,076,000 today. This leaves at least IDR 20,045,074.10 available over the next 90 days."
request_124,1402.01,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-07-15,reduce_to:event_11480:38,"Use 3 installments of EUR 1,076.12, starting 11 June 2024. This leaves at least EUR 1,649.12 available."
request_125,5733.11,not_affordable,not_recommended,none,2025-11-15,none,"Do not proceed with the ZAR 6,468 request. Although ZAR 5,733.11 is available today, the full amount cannot be completed safely within 90 days."
request_126,13913.63,affordable_now,full_payment,2026-07-03:159600,2026-07-03,none,"Pay INR 159,600 today. This leaves at least INR 169,367.41 available over the next 90 days."
request_127,7377.02,affordable_later,wait,2024-10-15:23980,2024-10-15,none,"Pay ZAR 23,980 in full on 15 October 2024. Paying earlier would take the balance below the ZAR 41,000 minimum."
request_128,25168,affordable_now,full_payment,2025-02-07:25168,2025-02-07,none,"Pay ZAR 25,168 today. This leaves at least ZAR 44,170.38 available over the next 90 days."
request_129,113.98,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 2,668.80 request. Although USD 113.98 is available today, the full amount cannot be completed safely within 90 days."
request_130,364.73,affordable_later,wait,2025-02-15:1978.8,2025-02-15,none,"Pay USD 1,978.80 in full on 15 February 2025. Paying earlier would take the balance below the USD 1,400 minimum."
request_131,1136.97,affordable_with_plan,installments,2025-05-06:643.14|2025-06-03:643.14|2025-07-01:643.14,2025-06-23,none,"Use 3 installments of USD 643.14, starting 6 May 2025. This leaves at least USD 1,259.62 available."
request_132,265.66,affordable_later,wait,2026-01-15:379.86,2026-01-15,none,"Pay USD 379.86 in full on 15 January 2026. Paying earlier would take the balance below the USD 1,100 minimum."
request_133,0,not_affordable,not_recommended,none,2024-03-07,none,"Do not make this payment by 29 March 2024. None of the available options keeps the IDR 9,986,200 minimum protected."
request_134,4451971.39,affordable_later,wait,2025-10-15:21831000,2025-10-15,none,"Pay IDR 21,831,000 in full on 15 October 2025. Paying earlier would take the balance below the IDR 15,902,500 minimum."
request_135,284.77,affordable_with_plan,full_payment,2026-07-06:304.8,2026-07-15,stop:event_12413,"Stop the subscription, then pay USD 304.80 today. This leaves at least USD 500 available."
request_136,529.36,affordable_with_plan,full_payment,2024-06-03:560.4,2024-06-15,reduce_to:event_12498:27.2,"reduce the subscription to USD 27.20, then pay USD 560.40 today. This leaves at least USD 1,100 available."
request_137,26148.15,affordable_later,wait,2026-01-15:80100,2026-01-15,none,"Pay INR 80,100 in full on 15 January 2026. Paying earlier would take the balance below the INR 71,800 minimum."
request_138,750.73,affordable_with_plan,installments,2026-04-07:435.74|2026-05-05:435.74|2026-06-02:435.74,2026-04-15,none,"Use 3 installments of EUR 435.74, starting 7 April 2026. This leaves at least EUR 2,614.98 available."
request_139,1342.41,not_affordable,not_recommended,none,2024-11-15,none,"Do not proceed with the USD 2,316 request. Although USD 1,342.41 is available today, the full amount cannot be completed safely within 90 days."
request_140,1425.82,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 62,832 request. Although ZAR 1,425.82 is available today, the full amount cannot be completed safely within 90 days."
request_141,18624.38,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 171,600 request. Although INR 18,624.38 is available today, the full amount cannot be completed safely within 90 days."
request_142,1263.6,affordable_now,full_payment,2024-12-05:1263.6,2024-12-05,none,"Pay USD 1,263.60 today. This leaves at least USD 5,224.26 available over the next 90 days."
request_143,2465.23,affordable_later,wait,2025-07-15:12584,2025-07-15,none,"Pay ZAR 12,584 in full on 15 July 2025. Paying earlier would take the balance below the ZAR 11,300 minimum."
request_144,233.34,affordable_now,full_payment,2026-07-04:233.34,2026-07-04,none,Pay USD 233.34 today. This leaves at least USD 617.18 available over the next 90 days.
request_145,28335.58,affordable_with_plan,installments,2024-03-20:75365.33|2024-04-20:75365.33|2024-05-21:75365.33,2024-05-15,reduce_to:event_13409:3335,"Use 3 installments of INR 75,365.33, starting 20 March 2024. This leaves at least INR 156,000.78 available."
request_146,16093.18,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 449,400 request. Although INR 16,093.18 is available today, the full amount cannot be completed safely within 90 days."
request_147,478.22,affordable_with_plan,installments,2026-04-08:391.63|2026-05-08:391.63|2026-06-07:391.63,2026-05-15,none,"Use 3 installments of EUR 391.63, starting 8 April 2026. This leaves at least EUR 986.59 available."
request_148,7120.38,not_affordable,not_recommended,none,2024-08-15,none,"Do not proceed with the ZAR 22,242 request. Although ZAR 7,120.38 is available today, the full amount cannot be completed safely within 90 days."
request_149,22537.15,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03,2025-12-15,none,"Use 3 installments of ZAR 12,706.03, starting 18 November 2025. This leaves at least ZAR 43,656.27 available."
request_150,256.49,affordable_with_plan,installments,2026-01-06:171.98|2026-02-05:171.98|2026-03-07:171.98,2026-03-15,reduce_to:event_13787:16|stop:event_13786,"Use 3 installments of EUR 171.98, starting 6 January 2026. This leaves at least EUR 717.22 available."
request_151,26999000,affordable_now,full_payment,2024-09-03:26999000,2024-09-03,none,"Pay IDR 26,999,000 today. This leaves at least IDR 32,313,505.96 available over the next 90 days."
request_152,11114.64,affordable_with_plan,installments,2025-02-12:4812.43|2025-03-12:4812.43|2025-04-09:4812.43,2025-04-15,reduce_to:event_14024:234.3|stop:event_13958,"Use 3 installments of ZAR 4,812.43, starting 12 February 2025. This leaves at least ZAR 12,312.40 available."
request_153,8.58,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 2,830.80 request. Although USD 8.58 is available today, the full amount cannot be completed safely within 90 days."
request_154,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 14 February 2025. None of the available options keeps the EUR 1,300 minimum protected."
request_155,112500,affordable_now,full_payment,2025-05-06:112500,2025-05-06,none,"Pay INR 112,500 today. This leaves at least INR 76,181.32 available over the next 90 days."
request_156,8474.34,affordable_later,wait,2026-06-15:43076,2026-06-15,none,"Pay ZAR 43,076 in full on 15 June 2026. Paying earlier would take the balance below the ZAR 26,900 minimum."
request_157,4753445.22,affordable_later,wait,2024-05-15:23503000,2024-05-15,none,"Pay IDR 23,503,000 in full on 15 May 2024. Paying earlier would take the balance below the IDR 15,714,100 minimum."
request_158,242600,affordable_with_plan,installments,2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33,2025-08-07,none,"Use 3 installments of INR 84,101.33, starting 7 August 2025. This leaves at least INR 622,210.07 available."
request_159,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 20 March 2026. None of the available options keeps the ZAR 8,700 minimum protected."
request_160,570.29,affordable_with_plan,installments,2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05,2024-07-15,none,"Use 3 installments of EUR 432.05, starting 13 June 2024. This leaves at least EUR 1,338.24 available."
request_161,6808760.94,affordable_later,wait,2026-01-15:21204000,2026-01-15,none,"Pay IDR 21,204,000 in full on 15 January 2026. Paying earlier would take the balance below the IDR 23,010,400 minimum."
request_162,1123678.77,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 83,923,000 request. Although IDR 1,123,678.77 is available today, the full amount cannot be completed safely within 90 days."
request_163,8739824.67,affordable_with_plan,installments,2024-09-10:6692053.33|2024-10-11:6692053.33|2024-11-11:6692053.33,2024-11-15,reduce_to:event_15018:664050,"Use 3 installments of IDR 6,692,053.33, starting 10 September 2024. This leaves at least IDR 28,936,716.80 available."
request_164,27018000,affordable_with_plan,installments,2025-02-11:9366240|2025-03-11:9366240|2025-04-08:9366240,2025-02-04,none,"Use 3 installments of IDR 9,366,240, starting 11 February 2025. This leaves at least IDR 49,731,898.42 available."
request_165,65790.12,affordable_now,full_payment,2026-04-06:80600,2026-04-06,none,"Pay INR 80,600 today. This leaves at least INR 255,539.23 available over the next 90 days."
request_166,2907.6,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,"Use 3 installments of USD 1,007.97, starting 3 December 2024. This leaves at least USD 7,473.18 available."
request_167,43802,affordable_now,full_payment,2025-05-05:43802,2025-05-05,none,"Pay ZAR 43,802 today. This leaves at least ZAR 36,465.88 available over the next 90 days."
request_168,30941.36,affordable_with_plan,partial_payment,2026-01-07:30941.36|2026-02-15:18438.64,2026-02-15,none,"Pay INR 30,941.36 today and the remaining INR 18,438.64 on 15 February 2026. This completes the full request and keeps the INR 114,400 minimum protected."
request_169,41976,affordable_now,full_payment,2024-03-04:41976,2024-03-04,none,"Pay ZAR 41,976 today. This leaves at least ZAR 23,870.63 available over the next 90 days."
request_170,30061352.59,affordable_with_plan,installments,2025-08-06:12804480|2025-09-03:12804480|2025-10-01:12804480,2025-09-15,none,"Use 3 installments of IDR 12,804,480, starting 6 August 2025. This leaves at least IDR 35,237,812.88 available."
request_171,33.69,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1,878.80 request. Although EUR 33.69 is available today, the full amount cannot be completed safely within 90 days."
request_172,9130.37,affordable_with_plan,partial_payment,2024-06-05:9130.37|2024-06-15:1069.63,2024-06-15,none,"Pay ZAR 9,130.37 today and the remaining ZAR 1,069.63 on 15 June 2024. This completes the full request and keeps the ZAR 27,200 minimum protected."
request_173,55311.89,affordable_with_plan,installments,2025-11-21:39173.33|2025-12-19:39173.33|2026-01-16:39173.33,2026-01-15,none,"Use 3 installments of INR 39,173.33, starting 21 November 2025. This leaves at least INR 81,343.58 available."
request_174,1081.04,affordable_with_plan,installments,2026-04-04:397.35|2026-05-04:397.35|2026-06-03:397.35,2026-04-04,none,"Use 3 installments of EUR 397.35, starting 4 April 2026. This leaves at least EUR 974.24 available."
request_175,2346.3,affordable_now,full_payment,2024-09-06:2346.3,2024-09-06,none,"Pay EUR 2,346.30 today. This leaves at least EUR 1,894.95 available over the next 90 days."
request_176,369.74,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1,239.70 request. Although EUR 369.74 is available today, the full amount cannot be completed safely within 90 days."
request_177,1017.6,affordable_now,full_payment,2026-01-05:1017.6,2026-01-05,none,"Pay USD 1,017.60 today. This leaves at least USD 1,381.96 available over the next 90 days."
